,total reward,targets hit
299,318568.0261665124,6
300,200514.0754544692,4
301,159587.401752477,5
302,225617.7731362116,5
303,340829.6875361295,6
304,203378.45474824635,4
305,126375.08170314645,3
306,483569.8274680185,6
307,118059.35126676239,3
308,97868.6317884327,3
309,247037.55199881268,5
310,282948.9183733714,5
311,52662.619624197585,3
312,139428.48469830837,4
313,224074.44148387638,4
314,201268.71915492744,5
315,298329.64217865275,5
316,289645.783309674,5
317,191006.0057349423,4
318,224429.0921001997,5
319,178525.2202386237,4
320,204348.4893759156,4
321,406531.56194325327,6
322,317939.4950470173,6
323,338870.7991704562,6
324,265632.39371387684,5
325,134839.3187277139,5
326,257636.6082548699,5
327,152401.3648458735,4
328,121755.33406830028,3
329,341595.16338479385,5
330,151279.364725486,4
331,300262.61133992334,5
332,343236.0844726625,6
333,269101.8099291308,5
334,259905.78759445684,5
335,235572.9768506412,4
336,245781.41877165384,5
337,353285.2654746786,6
338,215570.52058283822,5
339,249358.24152713164,5
340,281763.5681443976,5
341,308357.8297241842,5
342,264250.9044659352,5
343,817494.1443763084,8
344,402803.7334632744,6
345,446650.14232689305,6
346,191111.77769805046,4
347,92295.96146589244,3
348,270030.8736037378,5
349,212530.28640389972,4
350,273909.51646655344,5
351,255817.11560191345,5
352,129392.52937044176,3
353,334458.4932027078,5
354,420637.36747841997,6
355,409379.49444404815,6
356,208247.35431068018,4
357,248234.98972817743,4
358,32727.192674539972,2
359,380044.94633310376,5
360,236313.3743733825,5
361,182713.79926527265,4
362,387340.8651103572,6
363,177797.15643628483,4
364,255422.68495936628,5
365,207178.06784505688,4
366,298428.4012074458,5
367,372803.10803193564,5
368,244441.1176562978,5
369,197310.73750603962,5
370,243716.52566355027,4
371,147557.23114908085,4
372,291895.9781856807,5
373,333327.2446329898,6
374,243350.02750846712,5
375,196084.7593478159,4
376,216423.41303845117,5
377,329923.2941485088,5
378,206929.91076121217,4
379,208278.46557647758,4
380,232014.81567504606,4
381,380639.915156823,5
382,253373.84381654474,5
383,317007.8881736231,6
